pi_source	item	verdict	ri_location	detail
packages/ai/src/api/anthropic-messages.ts:961	OAuth system identity block "You are Claude Code, Anthropic's official CLI for Claude."	MATCH	crates/ri-llm-provider/src/anthropic.rs:848	Identical text; same position (first system block, user systemPrompt appended after), same cache_control handling
packages/ai/src/api/anthropic-messages.ts:1066	tool_reference blocks in tool_result content (tool_name = CC-normalized name)	MATCH	crates/ri-llm-provider/src/anthropic.rs:1238	Same tool_reference/tool_name payload text; same displaced-sibling-content behavior
packages/ai/src/api/openai-completions.ts:937	Synthetic assistant bridge "I have processed the tool results." (toolResult->user, requiresAssistantAfterToolResult)	MATCH	crates/ri-llm-provider/src/openai_completions.rs:185	Identical text and trigger condition
packages/ai/src/api/openai-completions.ts:973	Assistant content "" (vs null) when requiresAssistantAfterToolResult	MATCH	crates/ri-llm-provider/src/openai_completions.rs:257	Same empty-string-vs-null placeholder behavior
packages/ai/src/api/openai-completions.ts:994	requiresThinkingAsText: thinking blocks joined with "\n\n" as leading text part	MATCH	crates/ri-llm-provider/src/openai_completions.rs:251	Same join("\n\n"), same [thinkingText, ...textParts] ordering
packages/ai/src/api/openai-completions.ts:1014	Reasoning-field replay: thinking blocks joined with "\n" under signature-named field (opencode-go reasoning->reasoning_content rename)	MATCH	crates/ri-llm-provider/src/openai_completions.rs:282	Same join("\n"), same field-name selection incl. opencode-go rename
packages/ai/src/api/openai-completions.ts:1055	DeepSeek filler reasoning_content: "" on assistant messages	MATCH	crates/ri-llm-provider/src/openai_completions.rs:296	Same empty-string filler under same condition (requiresReasoningContentOnAssistantMessages && model.reasoning && field absent)
packages/ai/src/api/openai-completions.ts:1082	Tool-result text parts join "\n"	MATCH	crates/ri-llm-provider/src/openai_completions.rs:330	Same join
packages/ai/src/api/openai-completions.ts:1087	Tool-result placeholders "(see attached image)" / "(no tool output)"	MATCH	crates/ri-llm-provider/src/openai_completions.rs:341	Identical texts and precedence (text > images > none)
packages/ai/src/api/openai-completions.ts:1125	Synthetic assistant "I have processed the tool results." before tool-image user message	MATCH	crates/ri-llm-provider/src/openai_completions.rs:378	Identical text and placement
packages/ai/src/api/openai-completions.ts:1134	Tool-image user message text "Attached image(s) from tool result:"	MATCH	crates/ri-llm-provider/src/openai_completions.rs:383	Identical text; same leading text part + image_url parts
packages/ai/src/api/openai-completions.ts:1147	Kimi deferred-tools system message (role system + tools, no content field)	MATCH	crates/ri-llm-provider/src/openai_completions.rs:401	Same structure; emitted after the batch (and after the image user message), per-batch name accumulation
packages/ai/src/api/openai-responses-shared.ts:189	Fallback assistant message ids "msg_pi_{i}" / "msg_pi_{i}_{n}"; long ids -> "msg_{shortHash}"	MATCH	crates/ri-llm-provider/src/openai_responses.rs:367	Identical id text format; ri increments text_block_index before the empty-skip so numbering stays aligned
packages/ai/src/api/openai-responses-shared.ts:198	Replay of assistant text blocks as output_text items	DRIFT	crates/ri-llm-provider/src/openai_responses.rs:372	pi emits a message item for EVERY text block including empty/whitespace-only ones (output.push({type:"message",...,text: sanitizeSurrogates(textBlock.text)...}) with no trim guard); ri skips them ("if text.text.trim().is_empty() { continue; }") so an empty output_text item present in pi's payload is absent from ri's
packages/ai/src/api/openai-responses-shared.ts:230	function_call_output text parts join "\n"	MATCH	crates/ri-llm-provider/src/openai_responses.rs:432	Same join
packages/ai/src/api/openai-responses-shared.ts:261	function_call_output placeholders "(see attached image)" / "(no tool output)"	MATCH	crates/ri-llm-provider/src/openai_responses.rs:459	Identical texts and precedence
packages/ai/src/api/openai-responses-shared.ts:279	Deferred-tool load synthetic pair: tool_search_call id "pi_tool_load_{shortHash}"; arguments {query: names.join(" "), limit: names.length}; tool_search_output with defer_loading tools	MATCH	crates/ri-llm-provider/src/openai_responses.rs:491	Identical id prefix, hash input "{toolCallId}:{names.join(\",\")}", query join(" "), execution:"client", status:"completed"
packages/ai/src/api/openai-codex-responses.ts:498	Codex instructions fallback "You are a helpful assistant."	MATCH	crates/ri-llm-provider/src/openai_codex_responses.rs:225	Identical text. Note (edge): pi falls back for any falsy systemPrompt including empty string ("context.systemPrompt || ..."), ri only when system_prompt is None — an empty-string system prompt would be sent as "" by ri but replaced by the fallback in pi
packages/ai/src/api/bedrock-converse-stream.ts:103	Bedrock EMPTY_TEXT_PLACEHOLDER "<empty>" (user plain text, empty user block array, empty tool-result content)	MATCH	crates/ri-llm-provider/src/bedrock.rs:1241	Identical text; same 3 fallback sites (ri additionally applies it in its raw-message path bedrock.rs:1395, consistent with pi semantics)
packages/ai/src/api/google-shared.ts:179	functionResponse text parts join "\n"	MATCH	crates/ri-llm-provider/src/google_shared.rs:774	Same join
packages/ai/src/api/google-shared.ts:193	functionResponse value: text | "(see attached image)" | "" (empty string when no text/images)	MATCH	crates/ri-llm-provider/src/google_shared.rs:791	Identical texts and precedence
packages/ai/src/api/google-shared.ts:206	functionResponse key "error" (isError) vs "output"	MATCH	crates/ri-llm-provider/src/google_shared.rs:802	Same key selection
packages/ai/src/api/google-shared.ts:228	Separate user turn for Gemini<3 tool images: leading text "Tool result image:"	MATCH	crates/ri-llm-provider/src/google_shared.rs:852	Identical text; same non-multimodal-functionResponse condition
packages/ai/src/api/mistral-conversations.ts:534	Mistral user fallback "(image omitted: model does not support images)" when all blocks were unsupported images	MATCH	crates/ri-llm-provider/src/mistral.rs:813	Identical text and condition (had images, none representable)
packages/ai/src/api/mistral-conversations.ts:577	Mistral tool-result text parts join "\n"	MATCH	crates/ri-llm-provider/src/mistral.rs:747	Same join (both sanitize per-part)
packages/ai/src/api/mistral-conversations.ts:602	Tool-result error prefix "[tool error] "	MATCH	crates/ri-llm-provider/src/mistral.rs:887	Identical text (with trailing space)
packages/ai/src/api/mistral-conversations.ts:605	Image suffix "\n[tool image omitted: model does not support images]"	MATCH	crates/ri-llm-provider/src/mistral.rs:891	Identical text incl. leading newline; appended only when hasImages && !supportsImages
packages/ai/src/api/mistral-conversations.ts:611	Image-only tool result "(see attached image)" (with optional error prefix)	MATCH	crates/ri-llm-provider/src/mistral.rs:900	Identical
packages/ai/src/api/mistral-conversations.ts:615	Non-vision image-only tool result "(image omitted: model does not support images)" (with optional error prefix)	MATCH	crates/ri-llm-provider/src/mistral.rs:902	Identical
packages/ai/src/api/mistral-conversations.ts:618	Empty tool result "(no tool output)" (with optional error prefix)	MATCH	crates/ri-llm-provider/src/mistral.rs:905	Identical
packages/ai/src/api/mistral-conversations.ts:550	Assistant thinking replayed as {type:"thinking",thinking:[{type:"text",text}]} chunk	MATCH	crates/ri-llm-provider/src/mistral.rs:703	Same structure, empty-trim skip, sanitized text
packages/ai/src/api/cloudflare.ts:1	Cloudflare module (base URL constants only)	MATCH	crates/ri-llm-provider/src/models.rs	No model-visible text in this file; nothing to compare
packages/ai/src/api/pi-messages.ts:365	pi-messages payload (context passed verbatim; no synthesized message text)	MATCH	crates/ri-llm-provider/src/pi_messages.rs	Neither side injects model-visible text
packages/ai/src/api/openrouter-images.ts:125	openrouter-images payload (user content passed through; no synthesized text)	MATCH	crates/ri-llm-provider/src/openrouter_images.rs	Neither side injects model-visible text
packages/ai/src/simple-options.ts:1	simple-options (token clamping only)	MATCH	crates/ri-llm-provider/src/simple_options.rs	No model-visible text generated
